starting
idx,t_us,dL_mm,dDL_mm,dF_mm,dDR_mm,dR_mm,curL,curR,curF,nextL,nextR,nextF,service_us,walls_us
163,2445008,500,80,151,500,1094,0,0,0,1,0,1,1510,13
164,2460008,500,80,151,500,1094,0,0,0,1,0,1,1508,14
165,2475008,500,80,151,500,1094,0,0,0,1,0,1,1506,14
166,2490008,500,80,151,500,1094,0,0,0,1,0,1,1509,13
167,2505008,500,80,158,500,1094,0,0,0,1,0,1,1520,14
168,2520008,500,80,158,500,1094,0,0,0,1,0,1,1509,14
169,2535008,500,80,158,500,1094,0,0,0,1,0,1,1508,14
170,2550008,500,80,158,500,1094,0,0,0,1,0,1,1507,13
171,2565008,500,78,158,500,1094,0,0,0,1,0,1,1509,13
172,2580008,500,78,158,500,1094,0,0,0,1,0,1,1520,14
173,2595008,500,78,158,500,1094,0,0,0,1,0,1,1509,14
174,2610008,500,78,158,500,1074,0,0,0,1,0,1,1509,13
175,2625008,500,78,158,500,1074,0,0,0,1,0,1,1505,14
176,2640008,500,77,158,500,1074,0,0,0,1,0,1,1509,14
177,2655008,500,77,152,500,1074,0,0,0,1,0,1,1521,14
178,2670008,500,77,152,500,1074,0,0,0,1,0,1,1510,13
179,2685008,500,77,152,500,1074,0,0,0,1,0,1,1508,14
180,2700008,500,77,152,500,1074,0,0,0,1,0,1,1507,13
181,2715008,500,78,152,500,1074,0,0,0,1,0,1,1509,13
182,2730008,500,78,153,500,1074,0,0,0,1,0,1,1520,14
183,2745008,500,78,153,500,1074,0,0,0,1,0,1,1509,14
184,2760008,500,78,153,500,1074,0,0,0,1,0,1,1508,14
185,2775008,500,78,153,500,1074,0,0,0,1,0,1,1506,14
186,2790008,500,79,153,500,1074,0,0,0,1,0,1,1509,13
187,2805008,500,79,156,500,1074,0,0,0,1,0,1,1520,14
188,2820008,500,79,156,500,1074,0,0,0,1,0,1,1509,14
189,2835008,500,79,156,500,1086,0,0,0,1,0,1,1509,13
190,2850008,500,79,156,500,1086,0,0,0,1,0,1,1506,13
191,2865008,500,80,156,500,1086,0,0,0,1,0,1,1509,14
192,2880008,500,80,154,500,1086,0,0,0,1,0,1,1521,14
193,2895008,500,80,154,500,1086,0,0,0,1,0,1,1510,13
194,2910008,500,80,154,500,1086,0,0,0,1,0,1,1509,14
195,2925008,500,80,154,500,1086,0,0,0,1,0,1,1506,14
196,2940008,500,81,154,500,1086,0,0,0,1,0,1,1509,13
197,2955008,500,81,156,500,1086,0,0,0,1,0,1,1520,14
198,2970008,500,81,156,500,1086,0,0,0,1,0,1,1509,14
199,2985008,500,81,156,500,1086,0,0,0,1,0,1,1509,13

tof_service avg_us=1510 max_us=1521
wall_check avg_us=13 max_us=14
DONE
