Time(us),Position(counts),Speed(rad/s)
4480945,-322584,6.2600
4485945,-322591,7.3034
4490945,-322598,7.3034
4495945,-322605,7.3034
4500945,-322612,7.3034
4505945,-322618,6.2600
4510945,-322625,7.3034
4515945,-322632,7.3034
4520945,-322639,7.3034
4525945,-322646,7.3034
4530945,-322653,7.3034
4535945,-322660,7.3034
4540945,-322667,7.3034
4545945,-322674,7.3034
4550945,-322681,7.3034
4555945,-322688,7.3034
4560945,-322695,7.3034
4565945,-322702,7.3034
4570945,-322709,7.3034
4575945,-322716,7.3034
4580945,-322723,7.3034
4585945,-322730,7.3034
4590945,-322737,7.3034
4595945,-322744,7.3034
4600945,-322751,7.3034
4605945,-322758,7.3034
4610945,-322766,8.3467
4615945,-322772,6.2600
4620945,-322780,8.3467
4625945,-322786,6.2600
4630945,-322794,8.3467
4635945,-322801,7.3034
4640945,-322808,7.3034
4645945,-322815,7.3034
4650945,-322822,7.3034
4655945,-322829,7.3034
4660945,-322836,7.3034
4665945,-322843,7.3034
4670945,-322850,7.3034
4675945,-322858,8.3467
4680945,-322865,7.3034
4685945,-322872,7.3034
4690945,-322879,7.3034
4695945,-322887,8.3467
4700945,-322894,7.3034
4705945,-322901,7.3034
4710945,-322909,8.3467
4715945,-322916,7.3034
4720945,-322923,7.3034
4725945,-322931,8.3467
4730945,-322938,7.3034
4735945,-322946,8.3467
4740945,-322953,7.3034
4745945,-322960,7.3034
4750945,-322968,8.3467
4755945,-322975,7.3034
4760945,-322983,8.3467
4765945,-322990,7.3034
4770945,-322998,8.3467
4775945,-323006,8.3467
4780945,-323013,7.3034
4785945,-323021,8.3467
4790945,-323028,7.3034
4795945,-323036,8.3467
4800945,-323044,8.3467
4805945,-323051,7.3034
4810945,-323059,8.3467
4815945,-323066,7.3034
4820945,-323074,8.3467
4825945,-323082,8.3467
4830945,-323089,7.3034
4835945,-323097,8.3467
4840945,-323105,8.3467
4845945,-323112,7.3034
4850945,-323120,8.3467
4855945,-323128,8.3467
4860945,-323136,8.3467
4865945,-323143,7.3034
4870945,-323151,8.3467
4875945,-323159,8.3467
4880945,-323166,7.3034
4885945,-323174,8.3467
4890945,-323182,8.3467
4895945,-323189,7.3034
4900945,-323197,8.3467
4905945,-323205,8.3467
4910945,-323212,7.3034
4915945,-323220,8.3467
4920945,-323228,8.3467
4925945,-323236,8.3467
4930945,-323243,7.3034
4935945,-323251,8.3467
4940945,-323258,7.3034
4945945,-323266,8.3467
4950945,-323273,7.3034
4955945,-323280,7.3034
4960945,-323287,7.3034
4965945,-323294,7.3034
4970945,-323302,8.3467
4975945,-323309,7.3034
4980945,-323316,7.3034
4985945,-323323,7.3034
4990945,-323330,7.3034
4995945,-323337,7.3034
5000945,-323344,7.3034
5005945,-323352,8.3467
5010945,-323358,6.2600
5015945,-323366,8.3467
5020945,-323373,7.3034
5025945,-323380,7.3034
5030945,-323386,6.2600
5035945,-323393,7.3034
5040945,-323400,7.3034
5045945,-323407,7.3034
5050945,-323414,7.3034
5055945,-323421,7.3034
5060945,-323427,6.2600
5065945,-323434,7.3034
5070945,-323441,7.3034
5075945,-323447,6.2600
5080945,-323454,7.3034
5085945,-323460,6.2600
5090945,-323467,7.3034
5095945,-323473,6.2600
5100945,-323480,7.3034
5105945,-323486,6.2600
5110945,-323493,7.3034
5115945,-323499,6.2600
5120945,-323505,6.2600
5125945,-323512,7.3034
5130945,-323518,6.2600
5135945,-323525,7.3034
5140945,-323531,6.2600
5145945,-323537,6.2600
5150945,-323544,7.3034
5155945,-323550,6.2600
5160945,-323556,6.2600
5165945,-323563,7.3034
5170945,-323569,6.2600
5175945,-323576,7.3034
5180945,-323582,6.2600
5185945,-323588,6.2600
5190945,-323595,7.3034
5195945,-323601,6.2600
5200945,-323608,7.3034
5205945,-323614,6.2600
5210945,-323621,7.3034
5215945,-323627,6.2600
5220945,-323634,7.3034
5225945,-323640,6.2600
5230945,-323647,7.3034
5235945,-323653,6.2600
5240945,-323660,7.3034
5245945,-323666,6.2600
5250945,-323673,7.3034
5255945,-323680,7.3034
5260945,-323686,6.2600
5265945,-323692,6.2600
5270945,-323699,7.3034
5275945,-323705,6.2600
5280945,-323712,7.3034
5285945,-323718,6.2600
5290945,-323725,7.3034
5295945,-323731,6.2600
5300945,-323738,7.3034
5305945,-323744,6.2600
5310945,-323751,7.3034
5315945,-323757,6.2600
5320945,-323764,7.3034
5325945,-323770,6.2600
5330945,-323776,6.2600
5335945,-323783,7.3034
5340945,-323790,7.3034
5345945,-323796,6.2600
5350945,-323803,7.3034
5355945,-323809,6.2600
5360945,-323816,7.3034
5365945,-323822,6.2600
5370945,-323829,7.3034
5375945,-323836,7.3034
5380945,-323842,6.2600
5385945,-323849,7.3034
5390945,-323856,7.3034
5395945,-323862,6.2600
5400945,-323869,7.3034
5405945,-323876,7.3034
5410945,-323883,7.3034
5415945,-323890,7.3034
5420945,-323897,7.3034
5425945,-323904,7.3034
5430945,-323911,7.3034
